Pillar / Cluster,Term Offered,Terms,Terms(1),Terms(2),Subject Code,"""Subject Title (click on link for subject desciption and information)""",Instructor Names Anonymized
ISTD,Summer 2024,5,,,50.003,Elements of Software Construction,Wilson Chia
ISTD,Summer 2024,5,,,50.005,Computer System Engineering,Nicole Teo
ISTD,Summer 2024,5,,,50.007,Machine Learning,Brian Thompson
ISTD,Summer 2024,5,,,50.042,Foundations of Cybersecurity,Kenneth Goh
ISTD,Fall 2024,7,,,50.006,User Interface Design and Implementation,Josephine Tay
ISTD,Fall 2024,7,,,50.020,Network Security,John Lim
ISTD,Fall 2024,7,,,50.035,Computer Vision,Jack Brown
ISTD,Fall 2024,7,,,50.037,Blockchain Technology,Adeline Wong
ISTD,Fall 2024,7,,,50.040,Natural Language Processing,Anjali Nair
ISTD,Spring 2025,8,,,50.055,Data Privacy and Security,John Lim
SMT,Fall 2024,3,,,10.024,Spatial Design World,Mary Clarke
ESD,Spring 2025,4,,,40.001,Introduction to Engineering Systems,Rachel Koh
